Sample_ID,HybSeq_ID
S4413,S4413
S4414,S4414
S4415,S4415
S4416,S4416
S4417,S4417
S4418,S4418
S4419,S4419
S4420,S4420
S4421,S4421
S4422,S4422
S4423,S4423
S4424,S4424
S4425,S4425
S4426,S4426
S4427,S4427
S4428,S4428
S4429,S4429
S4430,S4430
S4431,S4431
S4432,S4432
S4433,S4433
S4434,S4434
S4435,S4435
S4436,S4436
S4437,S4437
S4438,S4438
S4439,S4439
S4440,S4440
S4441,S4441
S4442,S4442
S4443,S4443
S4444,S4444
S4445,S4445
S4446,S4446
S4447,S4447
S4448,S4448
S4449,S4449
S4450,S4450
S4451,S4451
S4452,S4452
S4453,S4453
S4454,S4454
S4455,S4455
S4456,S4456
S4457,S4457
S4458,S4458
S4459,S4459
S4460,S4460
S4461,S4461
S4462,S4462
S4463,S4463
S4464,S4464
S4465,S4465
S4466,S4466
S4467,S4467
S4468,S4468
S4469,S4469
S4470,S4470
S4471,S4471
S4472,S4472
S4473,S4473
S4474,S4474
S4475,S4475
S4476,S4476
S4477,S4477
S4478,S4478
S4479,S4479
S4480,S4480
S4481,S4481
S4482,S4482
S4483,S4483
S4484,S4484
S4485,S4485
S4486,S4486
S4487,S4487
S4488,S4488
S4489,S4489
S4490,S4490
S4491,S4491
S4492,S4492
S4493,S4493
S4494,S4494
S4495,S4495
S4496,S4496
S4497,S4497
S4498,S4498
S4499,S4499
S4500,S4500
S4501,S4501
S4502,S4502
S4503,S4503
S4504,S4504
S4505,S4505
S4506,S4506
S4507,S4507
S4508,S4508
S4509,S4509
S4510,S4510
S4511,S4511
S4512,S4512
S4513,S4513
S4514,S4514
S4515,S4515
S4516,S4516
S4517,S4517
S4518,S4518
S4519,S4519
S4520,S4520
S4521,S4521
S4522,S4522
S4523,S4523
S4524,S4524
S4525,S4525
S4526,S4526
S4527,S4527
S4528,S4528
S4529,S4529
S4530,S4530
S4531,S4531
S4532,S4532
S4533,S4533
S4534,S4534
S4535,S4535
S4536,S4536
S4537,S4537
S4538,S4538
S4539,S4539
S4540,S4540
S4541,S4541
S4542,S4542
S4543,S4543
S4544,S4544
S4545,S4545
S4546,S4546
S4547,S4547
S4548,S4548
S4549,S4549
S4550,S4550
S4551,S4551
S4552,S4552
S4553,S4553
S4554,S4554
S4555,S4555
S4556,S4556
S4557,S4557
S4558,S4558
S4559,S4559
