age_bin,age_mid,n_nodes,q1_med,q1_lo,q1_hi,pp1_med,pp1_lo,pp1_hi,gCF_med,gCF_lo,gCF_hi,sCF_med,sCF_lo,sCF_hi
0,1,1325,0.411768,0.21963819999999998,0.9068170999999998,0.999291,0,1,1.36,0,65.71999999999976,40.3,23.830000000000002,84.56999999999995
2,3,770,0.44020899999999996,0.27710725,0.9105005999999993,1,0,1,6.3149999999999995,0,72.18499999999997,43.349999999999994,24.712500000000002,83.265
4,5,333,0.484219,0.3224132,0.9449831,1,0.025072900000000023,1,13.7,0,84.28999999999999,45.6,28.3,84.97999999999999
6,7,203,0.475171,0.3326192,0.9265863999999999,1,0.04840045000000006,1,14.7,0,74.53499999999997,43.1,26.52,82.095
8,9,121,0.513128,0.327602,0.952397,1,0.002387,1,17.8,0.301,87.8,46.7,30.2,85
10,11,79,0.572581,0.32815075000000005,0.9444693,1,0.23030420000000004,1,18.1,0.44915000000000005,68.535,46.4,30.195,77.22999999999999
12,13,64,0.64157,0.368187475,0.9474678,1,0.4171903500000001,1,24.4,0.97435,88.23749999999998,44.5,32.6925,88.1225
14,15,72,0.4474345,0.330476,0.8818951749999997,1,0.006963025000000001,1,4.92,0.1728250000000001,68.25749999999998,38.55,28.03,74.07749999999994
16,17,25,0.582913,0.3481752,0.9552069999999999,1,0.2727550000000001,1,21,0.6900000000000001,85.94,45.3,34.660000000000004,89.67999999999999
18,19,18,0.6106185,0.387804975,0.9090236,1,0.4565367250000001,1,28.15,1.1484999999999999,82.505,45.65,35.8,84.12749999999998
20,21,15,0.526337,0.38010889999999997,0.9008287,1,0.78542515,1,13.4,1.2000000000000002,47.81,39.8,28.265,57.7
22,23,11,0.494574,0.39522175000000004,0.91427275,1,0.9783035,1,22.9,0.6115,66.8,40.9,32.699999999999996,62.275
24,25,10,0.441149,0.34200200000000003,0.6824943250000001,0.9992840000000001,0.44905995000000004,1,5.675000000000001,0.02295000000000001,25.962500000000002,38.8,28.087500000000002,55.83
26,27,9,0.463397,0.3865852,0.9630222,1,0.8240018,1,20.1,0.4339999999999999,90.52,40.9,33.72,84.70000000000002
28,29,3,0.779977,0.74311035,0.90129295,1,1,1,46.3,36.99,82.49500000000002,53.2,45.505,83.22000000000001
30,31,3,0.469081,0.4197798,0.5132047,1,0.9998727000000001,1,11.5,5.8854999999999995,11.88,40.6,37.18,43.735
32,33,6,0.4336325,0.348507625,0.691389875,1,0.48756062499999997,1,8.1,2.695,19.5875,33.05,28.525,41.1625
34,35,1,0.582254,0.582254,0.582254,1,1,1,18.4,18.4,18.4,46.6,46.6,46.6
36,37,2,0.938765,0.938765,0.938765,1,1,1,64,64,64,61.9,61.9,61.9
40,41,1,0.864434,0.864434,0.864434,1,1,1,56.4,56.4,56.4,56.8,56.8,56.8
42,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,45,2,0.707117,0.456412,0.9578220000000001,0.9998994999999999,0.999804025,0.999994975,51.400000000000006,14.349999999999994,88.45000000000002,57,35.05499999999999,78.945
54,55,1,0.881089,0.881089,0.881089,1,1,1,72,72,72,52.4,52.4,52.4
56,57,1,0.782295,0.782295,0.782295,1,1,1,43.3,43.3,43.3,42.5,42.5,42.5
58,59,2,0.582739,0.49681054999999996,0.6686674499999999,1,1,1,22.450000000000003,11.382499999999999,33.5175,42.2,39.825,44.57500000000001
60,61,3,0.482279,0.47980520000000004,0.9671875000000001,1,0.99937965,1,24.9,17.490000000000002,91.68500000000002,36.1,36.004999999999995,92.81500000000001
64,65,1,0.493919,0.493919,0.493919,1,1,1,8.19,8.19,8.19,41.3,41.3,41.3
68,69,1,0.458154,0.458154,0.458154,0.998879,0.998879,0.998879,10.8,10.8,10.8,43.7,43.7,43.7
70,71,1,0.536903,0.536903,0.536903,1,1,1,14,14,14,34.6,34.6,34.6
72,73,1,0.654173,0.654173,0.654173,1,1,1,14,14,14,35.8,35.8,35.8
78,79,1,0.300391,0.300391,0.300391,0.132657,0.132657,0.132657,6.87,6.87,6.87,32.6,32.6,32.6
80,81,1,0.665315,0.665315,0.665315,1,1,1,19.8,19.8,19.8,40.5,40.5,40.5
82,83,3,0.593788,0.39192345,0.6929034,1,0.7419705,1,14.7,8.8955,35.60000000000001,37.8,37.419999999999995,45.21
90,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
