sample	n_consensus_files
23Q06	2
23Q10	2
23Q11	2
23Q37	2
23Q39	2
23Q40	2
23Q41	2
23Q42	2
23Q43	2
23Q44	2
23Q46	2
23Q48	2
23Q51	2
23Q52	2
23Q62	2
23Q65	2
23Q66	2
23Q94	2
23R06	2
23R11	2
23R12	2
23R15	2
23R16	2
23R17	2
23R20	2
23R25	2
23R26	2
23R29	2
23R37	2
23R38	2
23R40	2
23R42	2
23R45	2
23R46	2
23R47	2
23R51	2
23R52	2
23R61	2
23R64	2
23R65	2
24P87	2
24P89	2
24P95	2
CR1002	2
CR1124	2
CR1298	2
ERR10116846	2
ERR2040449	2
ERR2560444	2
ERR2560538	2
ERR3454146	2
ERR3487354	2
ERR3822209	2
ERR4221768	2
ERR4880718	2
ERR7621926	2
ERR7621928	2
ERR7621929	2
ERR7621937	2
ERR7621938	2
ERR7621941	2
ERR7621945	2
ERR7621946	2
ERR7621947	2
ERR7621948	2
ERR7621949	2
ERR7621956	2
ERR7621957	2
ERR7621958	2
ERR7621959	2
ERR7621960	2
ERR7621961	2
ERR7621963	2
ERR7621965	2
ERR7621966	2
ERR7621967	2
ERR9230199	2
ERR9941677	2
FW1036	2
FW1139	2
FW1150	2
FW1192	2
FW1254	2
FW1266	2
FW140	2
FW1765	2
FW284	2
FW616	2
FW732	2
FW757	2
FW764	2
FW943	2
HEID400803	2
HEID400861	2
HEID401915	2
HEID402743	2
HEID404442	2
HEID408979	2
HEID410287	2
HEID410424	2
HEID410425	2
HEID500003	2
HEID500025	2
HEID500027	2
HEID500028	2
HEID500619	2
HEID501419	2
HEID501437	2
HEID501441	2
HEID501601	2
HEID502724	2
HEID502794	2
HEID502828	2
HEID502831	2
HEID502832	2
HEID502863	2
HEID502973	2
HEID503129	2
HEID503376	2
HEID504021	2
HEID504118	2
HEID504190	2
HEID504191	2
HEID504192	2
HEID504398	2
HEID504403	2
HEID504407	2
HEID504408	2
HEID504420	2
HEID504534	2
HEID504567	2
