Sample,No. loci,Prop. of loci,Prop. of target length,No. loci (B764),Prop. of loci (B764),Prop. of target length (B764),No. loci (A353),Prop. of loci (A353),Prop. of target length (A353)
23Q06,1105,0.989,0.957,756,0.99,0.969,349,0.989,0.921
23Q10,1111,0.995,0.967,762,0.997,0.981,349,0.989,0.925
23Q11,1104,0.988,0.957,755,0.988,0.967,349,0.989,0.924
23Q37,1111,0.995,0.968,760,0.995,0.981,351,0.994,0.926
23Q39,1108,0.992,0.971,760,0.995,0.987,348,0.986,0.921
23Q40,1108,0.992,0.965,759,0.993,0.979,349,0.989,0.922
23Q41,1104,0.988,0.952,756,0.99,0.963,348,0.986,0.919
23Q42,1108,0.992,0.961,759,0.993,0.973,349,0.989,0.925
23Q43,817,0.731,0.529,522,0.683,0.511,295,0.836,0.584
23Q44,1110,0.994,0.955,761,0.996,0.964,349,0.989,0.926
23Q46,974,0.872,0.638,679,0.889,0.666,295,0.836,0.553
23Q48,1113,0.996,0.98,764,1.0,0.995,349,0.989,0.933
23Q51,1106,0.99,0.947,758,0.992,0.96,348,0.986,0.907
23Q52,1106,0.99,0.962,758,0.992,0.973,348,0.986,0.928
23Q62,1113,0.996,0.979,764,1.0,0.996,349,0.989,0.927
23Q65,1111,0.995,0.965,762,0.997,0.977,349,0.989,0.927
23Q66,1105,0.989,0.947,757,0.991,0.958,348,0.986,0.912
23Q94,1103,0.987,0.954,754,0.987,0.965,349,0.989,0.918
23R06,1105,0.989,0.965,757,0.991,0.978,348,0.986,0.924
23R11,1107,0.991,0.965,758,0.992,0.978,349,0.989,0.925
23R12,1106,0.99,0.967,758,0.992,0.98,348,0.986,0.926
23R15,1107,0.991,0.967,759,0.993,0.982,348,0.986,0.924
23R16,1107,0.991,0.968,758,0.992,0.982,349,0.989,0.924
23R17,1108,0.992,0.97,760,0.995,0.984,348,0.986,0.928
23R20,1106,0.99,0.964,758,0.992,0.98,348,0.986,0.915
23R25,1108,0.992,0.972,761,0.996,0.986,347,0.983,0.928
23R26,1109,0.993,0.972,761,0.996,0.987,348,0.986,0.925
23R29,1105,0.989,0.964,757,0.991,0.975,348,0.986,0.928
23R37,1110,0.994,0.974,762,0.997,0.988,348,0.986,0.929
23R38,1113,0.996,0.978,764,1.0,0.994,349,0.989,0.931
23R40,1109,0.993,0.974,761,0.996,0.989,348,0.986,0.93
23R42,1110,0.994,0.969,762,0.997,0.984,348,0.986,0.921
23R45,1108,0.992,0.969,760,0.995,0.984,348,0.986,0.921
23R46,1108,0.992,0.963,759,0.993,0.975,349,0.989,0.925
23R47,1107,0.991,0.967,759,0.993,0.983,348,0.986,0.919
23R51,1108,0.992,0.971,759,0.993,0.984,349,0.989,0.93
23R52,1108,0.992,0.971,759,0.993,0.984,349,0.989,0.929
23R61,1072,0.96,0.912,727,0.952,0.926,345,0.977,0.868
23R64,1111,0.995,0.979,762,0.997,0.994,349,0.989,0.935
23R65,1108,0.992,0.969,759,0.993,0.982,349,0.989,0.929
24P87,1108,0.992,0.967,759,0.993,0.982,349,0.989,0.92
24P89,1107,0.991,0.967,758,0.992,0.984,349,0.989,0.915
24P95,1109,0.993,0.974,762,0.997,0.993,347,0.983,0.916
CR1002,1112,0.996,0.98,763,0.999,0.994,349,0.989,0.935
CR1124,999,0.894,0.724,691,0.904,0.747,308,0.873,0.652
CR1298,1112,0.996,0.979,763,0.999,0.994,349,0.989,0.93
ERR10116846,106,0.095,0.042,27,0.035,0.015,79,0.224,0.126
ERR2040449,615,0.551,0.371,331,0.433,0.279,284,0.805,0.657
ERR2560444,58,0.052,0.04,29,0.038,0.036,29,0.082,0.051
ERR2560538,220,0.197,0.217,139,0.182,0.215,81,0.229,0.22
ERR3454146,1109,0.993,0.968,761,0.996,0.987,348,0.986,0.91
ERR3487354,711,0.637,0.414,406,0.531,0.322,305,0.864,0.7
ERR3822209,1111,0.995,0.972,761,0.996,0.987,350,0.992,0.926
ERR4221768,1031,0.923,0.874,715,0.936,0.912,316,0.895,0.754
ERR4880718,1109,0.993,0.97,759,0.993,0.984,350,0.992,0.927
ERR7621926,946,0.847,0.636,617,0.808,0.614,329,0.932,0.703
ERR7621928,948,0.849,0.686,617,0.808,0.669,331,0.938,0.741
ERR7621929,1017,0.91,0.803,671,0.878,0.8,346,0.98,0.812
ERR7621937,987,0.884,0.735,649,0.849,0.726,338,0.958,0.762
ERR7621938,622,0.557,0.294,376,0.492,0.259,246,0.697,0.406
ERR7621941,826,0.739,0.481,521,0.682,0.445,305,0.864,0.593
ERR7621945,596,0.534,0.296,356,0.466,0.265,240,0.68,0.394
ERR7621946,958,0.858,0.678,621,0.813,0.66,337,0.955,0.735
ERR7621947,951,0.851,0.713,622,0.814,0.704,329,0.932,0.743
ERR7621948,1001,0.896,0.771,666,0.872,0.766,335,0.949,0.785
ERR7621949,932,0.834,0.669,604,0.791,0.654,328,0.929,0.717
ERR7621956,673,0.603,0.334,396,0.518,0.291,277,0.785,0.468
ERR7621957,881,0.789,0.595,567,0.742,0.572,314,0.89,0.665
ERR7621958,698,0.625,0.38,410,0.537,0.336,288,0.816,0.519
ERR7621959,375,0.336,0.142,204,0.267,0.113,171,0.484,0.233
ERR7621960,979,0.876,0.701,644,0.843,0.692,335,0.949,0.726
ERR7621961,1014,0.908,0.769,670,0.877,0.764,344,0.975,0.782
ERR7621963,1010,0.904,0.78,668,0.874,0.775,342,0.969,0.794
ERR7621965,980,0.877,0.743,643,0.842,0.734,337,0.955,0.772
ERR7621966,947,0.848,0.638,617,0.808,0.623,330,0.935,0.687
ERR7621967,969,0.868,0.733,639,0.836,0.724,330,0.935,0.76
ERR9230199,852,0.763,0.5,538,0.704,0.47,314,0.89,0.595
ERR9941677,1107,0.991,0.963,758,0.992,0.973,349,0.989,0.93
FW1036,1047,0.937,0.861,729,0.954,0.89,318,0.901,0.768
FW1139,1112,0.996,0.979,764,1.0,0.994,348,0.986,0.933
FW1150,1112,0.996,0.979,763,0.999,0.995,349,0.989,0.927
FW1192,1112,0.996,0.977,763,0.999,0.994,349,0.989,0.927
FW1254,1110,0.994,0.969,761,0.996,0.986,349,0.989,0.916
FW1266,1108,0.992,0.974,761,0.996,0.991,347,0.983,0.922
FW140,1018,0.911,0.744,695,0.91,0.754,323,0.915,0.712
FW1765,1110,0.994,0.972,762,0.997,0.992,348,0.986,0.912
FW284,1112,0.996,0.98,764,1.0,0.995,348,0.986,0.932
FW616,1112,0.996,0.98,764,1.0,0.996,348,0.986,0.931
FW732,1112,0.996,0.979,763,0.999,0.996,349,0.989,0.927
FW757,1089,0.975,0.914,749,0.98,0.937,340,0.963,0.843
FW764,1077,0.964,0.9,740,0.969,0.919,337,0.955,0.839
FW943,1109,0.993,0.969,762,0.997,0.988,347,0.983,0.909
HEID400803,1110,0.994,0.971,761,0.996,0.987,349,0.989,0.92
HEID400861,1110,0.994,0.972,762,0.997,0.988,348,0.986,0.922
HEID401915,1108,0.992,0.967,760,0.995,0.984,348,0.986,0.915
HEID402743,1088,0.974,0.94,747,0.978,0.967,341,0.966,0.855
HEID404442,1109,0.993,0.969,761,0.996,0.987,348,0.986,0.911
HEID408979,1107,0.991,0.964,759,0.993,0.982,348,0.986,0.907
HEID410287,1105,0.989,0.962,757,0.991,0.98,348,0.986,0.907
HEID410424,1098,0.983,0.945,750,0.982,0.958,348,0.986,0.904
