sample,bp,bpoftarget,n_loci_raw,n_loci_flagged_hybphaser_all,n_loci_flagged_hybphaser_each,n_loci_flagged_hybpiper,nloci_remaining,allele_divergence,locus_heterozygosity,loci >0.5% SNPs,loci >1% SNPs,loci >2% SNPs,bp (B764),bpoftarget (B764),n_loci_flagged_hybphaser_all (B764),n_loci_flagged_hybphaser_each (B764),n_loci_flagged_hybpiper (B764),n_loci_raw (B764),nloci_remaining (B764),allele_divergence (B764),locus_heterozygosity (B764),loci >0.5% SNPs (B764),loci >1% SNPs (B764),loci >2% SNPs (B764),bp (A353),bpoftarget (A353),n_loci_flagged_hybphaser_all (A353),n_loci_flagged_hybphaser_each (A353),n_loci_flagged_hybpiper (A353),n_loci_raw (A353),nloci_remaining (A353),allele_divergence (A353),locus_heterozygosity (A353),loci >0.5% SNPs (A353),loci >1% SNPs (A353),loci >2% SNPs (A353)
23Q06,1140679.0,96.008,1105,25,1,242,858,4.06249,92.7711,77.9425,67.8406,56.7192,884672.0,96.898,4,1,158,756,597,4.2678,93.4754,80.0266,69.7736,59.1212,256007.0,93.055,21,0,84,349,261,3.35303,91.1585,73.1707,63.4146,51.2195
23Q10,1152568.0,97.008,1111,25,0,264,839,5.61815,98.2505,93.5543,87.9374,79.1897,895259.0,98.057,4,0,168,762,593,5.81619,97.7573,93.0079,87.0712,78.7599,257309.0,93.528,21,0,96,349,246,4.92909,99.3902,94.8171,89.939,80.1829
23Q11,1140179.0,95.966,1104,25,0,353,743,5.80839,96.4782,91.7516,87.3957,81.279,883164.0,96.733,4,0,217,755,537,6.0187,97.0706,92.8096,88.5486,82.024,257015.0,93.421,21,0,136,349,206,5.0857,95.122,89.3293,84.7561,79.5732
23Q37,1152772.0,97.026,1111,25,2,315,789,4.61314,86.7837,78.8355,73.9372,65.2495,895982.0,98.136,4,2,200,760,559,4.84842,87.0027,79.7082,75.0663,67.374,256790.0,93.339,21,0,115,351,230,3.7922,86.2805,76.8293,71.3415,60.3659
23Q39,1157602.0,97.432,1108,25,0,322,781,4.0621,71.3758,61.0342,56.6944,51.8929,901340.0,98.723,4,0,213,760,547,4.42774,70.2381,63.4921,59.5238,55.0265,256262.0,93.147,21,0,109,348,234,2.77607,74.0061,55.3517,50.1529,44.6483
23Q40,1150456.0,96.831,1108,25,1,275,826,4.59783,92.0518,83.2717,74.4917,60.536,894086.0,97.929,4,1,177,759,581,4.86877,91.7772,83.9523,76.5252,63.5279,256370.0,93.186,21,0,98,349,245,3.65292,92.6829,81.7073,69.8171,53.6585
23Q41,1134876.0,95.519,1104,25,0,248,848,4.11428,89.1566,79.6108,71.5477,58.7581,879417.0,96.322,4,0,153,756,601,4.31081,88.8298,80.3191,72.3404,60.1064,255459.0,92.855,21,0,95,348,247,3.43773,89.9083,77.9817,69.7248,55.6575
23Q42,1145464.0,96.411,1108,25,0,301,799,4.37456,84.6722,75.2539,70.5448,60.7572,887961.0,97.258,4,0,184,759,574,4.53939,83.8411,74.5695,70.7285,61.1921,257503.0,93.598,21,0,117,349,225,3.80617,86.5854,76.8293,70.122,59.7561
23Q43,628028.0,52.859,817,21,7,19,774,4.48244,96.9582,95.057,90.3676,80.6084,465859.0,51.025,3,2,9,522,508,4.22639,95.7447,93.2302,88.2012,78.1431,162169.0,58.946,18,5,10,295,266,5.21801,99.2647,98.5294,94.4853,85.2941
23Q44,1137621.0,95.75,1110,25,0,268,835,4.29756,91.9816,78.7097,68.9401,55.7604,879881.0,96.373,4,0,180,761,581,4.54891,90.8851,78.3355,69.3527,56.8032,257740.0,93.684,21,0,88,349,254,3.43951,94.5122,79.5732,67.9878,53.3537
