locus	n_samples_consensus	n_samples_contig
1G01220	2620	2620
1G01770	2826	2826
1G01910	1988	1988
1G02400	2058	2058
1G02420	2397	2397
1G02860	2079	2079
1G02970	2648	2648
1G03090	2757	2757
1G03100	2675	2675
1G03190	2749	2749
1G03390	2425	2425
1G04110	2533	2533
1G04690	2618	2618
1G04730	2758	2758
1G04910	2751	2751
1G04970	2739	2739
1G05850	2700	2700
1G05910	2886	2886
1G05960	1489	1489
1G06260	2214	2214
1G06270	2323	2323
1G06440	2633	2633
1G06560	2834	2834
1G06590	2827	2827
1G06710	2802	2802
1G06950	2233	2233
1G07010	1768	1768
1G07590	2346	2346
1G08460	2278	2278
1G08490	1452	1452
1G09010	2904	2904
1G09340	1955	1955
1G09870	2528	2528
1G09900	2481	2481
1G10020	2243	2243
1G10240	2748	2748
1G10330	2080	2080
1G10385	2506	2506
1G10780	1740	1740
1G10910	2845	2845
1G11000	1838	1838
1G11915	2403	2403
1G12150	2249	2249
1G12330	1826	1826
1G12470	2900	2900
1G13970	1757	1757
1G14300	1790	1790
1G15440	2818	2818
1G15740	2619	2619
1G15980	2800	2800
1G16070	2029	2029
1G16570	1586	1586
1G16720	2722	2722
1G16770	2221	2221
1G17760	779	779
1G18270	2819	2819
1G19025	2679	2679
1G19860	2425	2425
1G20080	1853	1853
1G20560	2570	2570
1G21640	2849	2849
1G22620	2919	2919
1G22770	2918	2918
1G24610	2383	2383
1G24706	2937	2937
1G25500	2857	2857
1G25570	2504	2504
1G27460	2654	2654
1G27752	2573	2573
1G27760	1723	1723
1G29690	2788	2788
1G29900	2741	2741
1G30000	2850	2850
1G30010	2684	2684
1G30440	2220	2220
1G31360	2665	2665
1G31780	3016	3016
1G31800	1902	1902
1G33410	2738	2738
1G43860	1747	1747
1G47380	2119	2119
1G47670	2831	2831
1G48090	2946	2946
1G48880	2258	2258
1G49040	2877	2877
1G49540	2650	2650
1G49820	2693	2693
1G49970	2796	2796
1G50120	2866	2866
1G50200	2514	2514
1G50940	2222	2222
1G51550	2516	2516
1G51720	2773	2773
1G52520	2696	2696
1G52760	2509	2509
1G53270	2466	2466
1G55150	2159	2159
1G55250	2808	2808
1G55270	1934	1934
1G55480	1891	1891
1G55590	2616	2616
1G55760	2199	2199
1G55880	2525	2525
1G55910	2706	2706
1G57770	2863	2863
1G58120	2420	2420
1G59980	1518	1518
1G60060	1801	1801
