sample	paralogs_each_hybphaser	paralogs_each_hybpiper	paralogs_each_union
SRR24128551	0	806	806
S2764	15	768	768
S1957	7	759	759
23R64	95	738	755
23R12	1	703	703
S0346	22	692	693
S1774	8	682	683
S1792	11	676	678
S2425	17	664	669
S0295	18	650	654
S0497	6	653	653
S1772	6	650	651
S1109	13	644	647
S3262	10	644	645
S1497	30	638	644
S0650	6	642	643
S3214	10	639	639
S0908	14	634	635
S2756	18	633	634
HEID8003238	7	632	633
S1096	19	628	632
S0279	15	625	628
S2544	14	624	626
S0782	4	626	626
S3238	15	621	623
S1698	16	620	620
S1771	19	617	619
S0435	12	616	618
S4029	24	609	612
S3164	5	611	611
S3250	13	608	610
S2155	8	608	610
S2514	19	605	607
S2208	14	604	607
S4165	12	603	605
S0910	6	601	602
S4005	21	597	600
S2760	12	596	597
S0886	18	592	595
S2126	2	595	595
S1783	18	592	594
S1271	9	592	594
S1407	25	588	592
S0754	17	586	591
S2963	13	586	588
S1081	11	583	587
S1793	9	584	584
S1400	15	582	582
S2901	23	576	581
S2403	21	571	579
S3421	19	575	579
S2640	15	575	579
S3175	12	575	578
S1799	25	572	577
S4132	14	573	577
S2458	9	577	577
S2904	20	570	574
S2751	8	573	574
S2739	7	571	574
S2404	18	563	572
S0556	14	569	572
HEID501419	13	564	568
S3981	16	563	567
S3178	10	566	567
S2542	9	566	566
S2203	19	562	565
HEID8010304	7	563	564
S2614	25	558	562
S3131	6	559	561
S1811	8	559	559
S0411	19	554	556
S3167	13	556	556
S1111	12	554	555
S3194	16	549	554
S3360	21	548	552
S2483	16	551	552
S1740	8	551	552
S1099	18	545	550
S4282	26	539	549
S2557	16	547	549
S0783	8	548	549
S2469	10	544	547
S1464	18	543	546
S3275	11	545	546
S4343	52	528	544
SRR495203	24	539	544
S0521	19	542	544
S4021	10	539	542
S3922	24	536	541
S2105	14	538	541
S1072	17	534	537
S2902	9	537	537
S3271	19	532	536
S3213	11	534	536
S1453	7	534	534
S1159	20	531	533
S3855	6	533	533
HEID8009274	7	530	532
S3173	6	530	532
S1228	3	531	531
S1844	12	528	530
S2162	10	528	530
S2062	6	529	530
S1731	10	526	529
S3967	19	526	527
S1002	17	522	527
S1341	61	504	523
S0841	8	521	523
S1858	16	519	522
S2529	15	518	519
HEID8010066	10	515	518
S0389	23	507	515
S4324	6	513	515
S1787	23	509	514
HEID8010234	5	513	514
S2536	3	514	514
S3177	8	512	513
S3978	12	511	512
S3287	14	508	511
S0810	14	507	510
S2357	14	506	509
S0819	11	505	509
S3992	10	507	509
S2691	16	500	507
S3259	13	505	507
S1813	9	505	506
S2634	19	498	504
S2551	14	502	504
S3278	8	502	502
S4378	26	496	499
S3237	10	497	497
S1780	9	496	497
S3024	6	497	497
S0410	11	496	496
S2167	23	486	493
S1753	24	489	492
S3853	11	490	491
S3010	23	484	490
S3980	11	490	490
S1782	7	486	490
S0751	6	489	490
S3419	12	485	489
SRR2050307	2	489	489
S1790	18	481	487
S3101	14	484	487
S3186	8	485	486
S4001	8	485	486
S3915	4	484	485
S2109	2	484	485
S2576	21	475	482
S1825	19	479	482
S3950	10	480	481
S3211	7	480	480
S0909	14	477	479
S2708	13	475	479
S1842	9	476	479
S1855	11	477	478
S3537	21	470	477
S4152	6	475	477
S1846	4	476	476
S3203	9	474	475
S3165	15	470	474
S1440	27	466	473
HEID8008794	5	473	473
23R40	0	469	469
S3160	12	465	467
S2955	12	462	466
S1923	11	464	466
S3147	6	466	466
SRR14870005	23	458	463
S0722	0	463	463
S2533	28	449	459
S1778	18	455	459
S1802	17	452	456
S2144	8	452	455
S2228	7	454	455
S1070	24	448	454
S1209	11	453	454
HEID8010305	5	454	454
S1786	13	448	453
S1814	12	450	453
S0947	2	453	453
S0516	12	449	452
S0499	5	450	451
SRR18885251	2	451	451
S1803	37	439	450
S1533	0	450	450
S2531	15	449	449
S2958	20	441	448
S3037	13	445	448
S3512	10	445	448
S0495	7	446	447
HEID8000785	38	434	446
S1930	21	438	446
S3166	7	446	446
S1834	13	441	445
S1823	12	443	445
S1704	17	440	444
S0979	9	439	443
S3185	3	442	442
S2606	15	437	441
S0820	22	436	440
S3163	14	437	439
S0324	7	436	439
S2923	24	432	438
23R25	1	438	438
S1828	10	434	437
S1910	5	437	437
S0547	24	430	436
S1197	22	427	436
S3091	17	432	433
S3199	12	431	433
S3188	7	431	432
S3253	9	429	431
S2896	3	431	431
S3096	3	431	431
HEID8003279	7	427	429
S2213	7	425	428
S1931	8	424	426
S1098	19	419	425
S3738	10	423	425
S2834	38	408	424
S2220	11	420	424
24P95	30	415	423
S1857	31	410	422
S2903	11	418	419
24P89	7	417	419
S3057	16	415	418
S2596	14	415	418
S4002	5	417	418
SRR8528382	0	417	417
S2731	15	410	415
S3206	13	413	414
S1705	16	410	413
S1094	29	401	412
S3225	10	411	412
S3029	9	410	412
S3241	8	412	412
S1561	14	407	411
S3171	7	411	411
S3761	13	404	410
S3207	7	409	410
LaiQ176P4	2	406	407
S2657	30	393	406
S3075	25	398	406
S1833	10	404	406
S0494	5	404	406
HEID410424	15	402	405
S0904	14	404	404
S3001	20	396	403
HEID8000499	17	400	402
LaiQ184P1	4	401	401
S1798	2	401	401
S3212	9	398	400
S1748	14	396	399
S0298	4	399	399
S1689	12	395	398
S3268	7	397	398
S1715	52	381	397
S1030	14	390	397
S1374	49	381	396
S3740	12	394	396
S1808	9	395	396
HEID8000549	14	393	395
HEID8000879	18	390	394
S2224	2	394	394
S0716	16	386	392
S0354	12	386	391
S1040	18	381	387
S3920	10	385	387
S1106	8	385	387
S3228	7	386	387
S2979	30	376	386
S1164	13	381	386
S3244	11	381	386
S2326	10	385	386
HEID8003429	33	377	385
S1448	10	383	385
S1926	10	381	385
S3339	17	379	384
S3401	12	381	384
S2166	11	379	384
S2897	10	382	384
S0448	9	379	384
S2556	2	383	384
S2994	27	376	383
S3281	9	380	383
S2987	8	380	381
S0379	6	380	381
S1122	19	375	380
S3145	16	372	380
HEID8003177	13	377	380
S2217	12	376	379
S2146	9	377	378
HEID8003126	18	372	376
HEID8009942	18	369	376
S3973	10	374	375
HEID8003171	24	364	372
S2899	17	368	372
S4196	18	368	370
S0807	77	341	369
S1831	18	366	369
S4334	16	361	369
23R15	0	369	369
HEID8003181	16	363	368
S0534	21	356	366
S1044	18	359	366
S2970	18	359	365
S3247	15	362	365
S1024	0	365	365
S2176	18	358	364
S1050	10	362	364
S0809	32	357	363
S3234	10	361	363
S3169	9	361	363
S0901	22	353	361
S0757	34	352	360
S1219	2	359	359
S2095	19	352	358
HEID8010239	35	346	357
HEID8003120	17	351	357
HEID8003261	21	349	356
S2988	16	351	356
S1009	11	353	356
S2983	5	356	356
S4082	28	347	355
S1241	8	355	355
S3265	5	353	355
S1927	15	352	354
S3219	7	353	354
23Q11	0	353	353
S3052	11	349	352
S3049	10	350	351
S0798	15	340	350
S1849	13	345	350
S3231	10	348	350
HEID504191	33	338	349
S1817	15	346	349
S2559	15	344	349
23R26	1	349	349
HEID8009974	22	341	348
S3826	10	347	348
S2894	9	346	348
HEID8010272	20	341	347
S3995	17	344	347
S3190	8	344	347
S2839	0	347	347
HEID8010154	46	324	346
S2735	72	320	345
S1163	27	336	345
S0821	0	345	345
S4370	9	340	344
S1424	0	344	344
HEID8000822	18	334	343
S2844	0	343	343
S0784	0	341	341
HEID8010213	38	324	340
S3677	17	335	340
S1125	10	335	340
S1039	22	327	339
S2627	32	326	338
S3290	18	335	338
S2214	4	338	338
S3083	1	338	338
S0752	0	338	338
S3060	3	335	336
HEID8003137	21	329	335
S1969	0	334	334
S2759	0	333	333
S0617	1	332	332
S3084	14	327	331
S2216	12	326	331
23Q65	1	331	331
HEID8010056	30	321	330
S2526	15	328	330
HEID8010247	20	321	329
HEID8009955	18	323	329
S3680	18	323	329
S0967	7	326	328
S2555	12	325	327
S1713	12	323	327
HEID8010259	12	322	327
S2755	0	325	325
S2436	15	321	324
S2687	13	319	323
S2324	10	320	323
23R29	1	323	323
HEID8000518	26	313	322
S2601	26	310	322
HEID8003102	20	313	322
S0836	12	318	322
SRR14525677	2	322	322
23Q39	0	322	322
HEID8000624	33	305	320
S0671	17	314	320
HEID8010134	7	319	320
S3095	24	308	319
HEID8010397	12	316	319
S3133	8	317	319
HEID8010243	5	319	319
23R51	1	319	319
S0509	0	319	319
S1033	0	319	319
HEID8000823	25	305	318
HEID8008546	13	311	318
S1699	11	315	318
SRR24208603	0	318	318
S3897	18	310	317
S1852	17	310	316
S2704	43	292	315
S1319	28	302	315
S1695	13	313	315
23R37	7	314	315
23Q37	2	315	315
SRR1801313	1	315	315
S0593	9	312	314
S3852	0	314	314
HEID404442	21	304	313
HEID8010398	18	307	313
S2351	15	310	312
S1688	10	307	312
S2353	7	311	312
S3357	1	312	312
HEID8003146	24	304	311
HEID8010137	14	307	311
HEID9200106	29	299	310
HEID8010217	27	300	310
S2981	12	305	310
HEID8010819	9	307	310
S2447	9	305	310
HEID8003143	17	303	309
S0501	0	309	309
S0919	0	309	309
HEID8010138	24	298	308
HEID8010080	18	304	308
HEID8009978	18	299	307
S1754	12	304	307
S1562	0	307	307
RB682	31	295	306
HEID8000811	29	293	306
S0535	24	296	306
S1760	16	302	306
S1861	16	299	306
HEID8010135	11	301	306
S2738	0	306	306
HEID504190	38	285	305
23R16	1	305	305
ERR9941677	0	305	305
S4135	33	293	304
HEID500028	24	295	304
HEID8010128	20	299	304
S3891	20	298	303
S3015	11	300	303
S1708	7	300	303
SRR24208602	2	303	303
HEID8000568	28	291	302
S0503	0	302	302
S0747	0	302	302
S4014	24	294	301
HEID8010279	9	295	301
23Q42	0	301	301
SRR24208605	0	301	301
HEID8010251	17	292	300
SRR23340319	17	289	300
HEID8010244	22	289	299
23R17	1	299	299
23Q94	0	299	299
HEID8000613	34	287	298
S3916	28	287	298
HEID8003289	28	284	298
HEID8009950	22	292	298
S1996	12	296	298
HEID8000605	33	281	297
S0373	1	297	297
S2360	28	285	296
HEID8010256	8	292	296
S1095	3	295	296
HEID8010267	32	278	295
HEID8010248	20	288	295
HEID8010325	16	289	295
HEID8009967	14	286	295
S3613	3	295	295
S0940	38	279	294
HEID8003262	19	289	294
S4318	18	288	294
S4322	44	271	293
HEID8003122	16	285	293
HEID8010293	13	288	293
S3256	9	289	293
HEID8010400	19	283	292
S1022	0	292	292
HEID8008332	15	286	291
S2673	14	283	291
HEID8010286	12	288	291
HEID8003105	19	283	290
S3343	2	290	290
S2073	0	290	290
S3413	18	284	289
S3939	15	282	289
HEID8010294	10	287	289
S4123	8	287	289
S0518	15	284	288
HEID8010275	11	283	288
S4102	11	282	287
23Q52	0	287	287
HEID784061	19	274	286
23R46	1	286	286
S2642	0	286	286
S2160	5	284	285
S1877	1	285	285
S0787	0	285	285
HEID8008106	23	276	284
S1819	10	281	284
S0949	0	284	284
HEID8010021	18	279	283
HEID8010335	18	276	283
SRR1631197	12	282	283
HEID504192	32	265	282
S4000	30	270	282
S1276	28	277	282
S1023	0	282	282
S1185	0	282	282
S1463	0	282	282
HEID8008116	22	271	281
S3985	14	280	281
S3004	23	270	280
HEID8003115	21	271	280
HEID503129	16	275	280
HEID8003157	13	274	280
HEID8008606	9	277	280
S1303	31	270	279
