ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Aethionema acarii	Aethionema acarii		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 34	ALB, BUL, EAI, GRC, TUR, YUG		EXACT	3051063	
Y	Brassicaceae	Aethionema alanyae	Aethionema alanyae		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3693801	
Y?	Brassicaceae	Aethionema alidaghenicum	Aethionema alidaghenicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10898121	
Y	Brassicaceae	Aethionema alpinum	Aethionema alpinum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		HIGHERRANK		
Y	Brassicaceae	Aethionema anatolicum	Aethionema anatolicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		FUZZY	10981489	Y
Y?	Brassicaceae	Aethionema annuum	Aethionema annuum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10722564	
Y?	Brassicaceae	Aethionema apetalum	Aethionema apetalum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10725767	
Y	Brassicaceae	Aethionema arabicum	Aethionema arabicum		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 33, 34	BUL, CYP, EAI, IRN, IRQ, LBS, TCS, TUE, TUR		EXACT	11167472	
Y	Brassicaceae	Aethionema armenum	Aethionema armenum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	LBS, TCS, TUR		EXACT	3051049	
Y	Brassicaceae	Aethionema aytachii	Aethionema aytachii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34, 35	LBS, TCS, TUR		EXACT	12252655	
Y	Brassicaceae	Aethionema balansae	Aethionema balansae		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 34	ALB, BUL, EAI, GRC, TUR, YUG		EXACT	3051124	Y (corrected)
Y?	Brassicaceae	Aethionema bingoelicum	Aethionema bingoelicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10840820	
Y	Brassicaceae	Aethionema capitatum	Aethionema capitatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	LBS, TUR		EXACT	3051119	
Y	Brassicaceae	Aethionema carlsbergii	Aethionema carlsbergii		Aethionemoideae		Aethionemeae	Aethionema	H	1	13	GRC		EXACT	3051061	
Y	Brassicaceae	Aethionema carneum	Aethionema carneum		Aethionemoideae		Aethionemeae	Aethionema	H	3, 4	32, 33, 34, 35, 40	AFG, CYP, IRN, IRQ, KAZ, KGZ, LBS, PAK, PAL, SAU, SIN, TCS, TKM, TUR, TZK, UZB		EXACT	3051132	
Y	Brassicaceae	Aethionema cephalanthum	Aethionema cephalanthum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	3051075	
Y	Brassicaceae	Aethionema cordatum	Aethionema cordatum		Aethionemoideae		Aethionemeae	Aethionema	W	1, 2, 3	13, 20, 33, 34	GRC, IRN, LBS, MOR, TCS, TUR		EXACT	3051035	
Y	Brassicaceae	Aethionema coridifolium	Aethionema coridifolium		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	IRQ, LBS, TUR		EXACT	3051089	
Y	Brassicaceae	Aethionema demirizii	Aethionema demirizii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051146	
Y	Brassicaceae	Aethionema diastrophis	Aethionema diastrophis		Aethionemoideae		Aethionemeae	Aethionema	W	3	33	TCS		EXACT	3051052	
Y?	Brassicaceae	Aethionema dincii	Aethionema dincii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10875760	
Y?	Brassicaceae	Aethionema dincii subsp. baytopiae	Aethionema dincii	subsp. baytopiae	Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	10748178	
Y	Brassicaceae	Aethionema dincii subsp. dincii	Aethionema dincii	subsp. dincii	Aethionemoideae		Aethionemeae	Aethionema	H							
Y	Brassicaceae	Aethionema dumanii	Aethionema dumanii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3693666	
Y?	Brassicaceae	Aethionema dumelicum	Aethionema dumelicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10840316	
Y	Brassicaceae	Aethionema edentulum	Aethionema edentulum		Aethionemoideae		Aethionemeae	Aethionema	H	3	33, 34	IRN, TCS		EXACT	3051142	
Y	Brassicaceae	Aethionema erinaceum	Aethionema erinaceum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	IRN		EXACT	3693658	
Y?	Brassicaceae	Aethionema ertughrulii	Aethionema ertughrulii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10675160	
Y	Brassicaceae	Aethionema erzincanum	Aethionema erzincanum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10799041	
Y	Brassicaceae	Aethionema eunomioides	Aethionema eunomioides		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051140	
Y	Brassicaceae	Aethionema fimbriatum	Aethionema fimbriatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, IRQ, TCS, TUR		EXACT	3051080	
Y	Brassicaceae	Aethionema froedinii	Aethionema froedinii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRQ, TUR		EXACT	3051158	
Y	Brassicaceae	Aethionema fruticulosum	Aethionema fruticulosum		Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	3051092	
Y	Brassicaceae	Aethionema gileadense	Aethionema gileadense		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	LBS, PAL		EXACT	3051057	
Y	Brassicaceae	Aethionema grandiflorum	Aethionema grandiflorum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, IRQ, TCS, TUR		EXACT	3051147	
Y	Brassicaceae	Aethionema gypsicola	Aethionema gypsicola		Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	11899828	
Y	Brassicaceae	Aethionema heterocarpum	Aethionema heterocarpum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	LBS, PAL, TUR		EXACT	3051067	
Y	Brassicaceae	Aethionema huber-morathii	Aethionema huber-morathii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051093	
Y	Brassicaceae	Aethionema karamanicum	Aethionema karamanicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3693589	
Y	Brassicaceae	Aethionema kilicii	Aethionema kilicii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10751417	
Y	Brassicaceae	Aethionema kopetdaghi	Aethionema kopetdaghi		Aethionemoideae		Aethionemeae	Aethionema	W	3	32	TKM		EXACT	3051129	
Y	Brassicaceae	Aethionema lepidioides	Aethionema lepidioides		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051072	
