SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S1571	Sibara pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		598
S1004	Mostacillastrum andinum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1083
S1420	Thysanocarpus curvipes	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		837
S1427	Hesperidanthus linearifolius	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		291
S1586	Mostacillastrum andinum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1207
S2215	Thelypodium integrifolium	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		931
S3906	Weberbauera spathulifolia	Brassicaceae	Thelypodieae	Brassicodae (II)	Weberbauera		1172
S3936	Mostacillastrum gracile	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1220
S4047	Thelypodium laciniatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1194
S0512	Chaunanthus mexicanus	Brassicaceae	Thelypodieae	Brassicodae (II)	Chaunanthus	Isotype	930
S4142	Neuontobotrys frutescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1154
S3322	Thelypodium eucosmum	Brassicaceae	Thelypodieae	Brassicodae (II)	Thelypodium		1201
S1971	Sibaropsis hammittii	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibaropsis		1153
S3191	Mostacillastrum arcuatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Mostacillastrum		1203
S0286	Chlorocrambe hastata	Brassicaceae	Thelypodieae	Brassicodae (II)	Chlorocrambe		1095
S0295	Hesperidanthus suffrutescens	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1114
S0296	Hesperidanthus jaegeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Hesperidanthus		1156
S0346	Romanschulzia arabiformis	Brassicaceae	Thelypodieae	Brassicodae (II)	Romanschulzia		1207
S0448	Sibara tehuelches	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1173
S0516	Neuontobotrys berningeri	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1113
S0517	Neuontobotrys camanaensis	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys	Isotype	1079
S0518	Neuontobotrys lanata	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1117
S0519	Neuontobotrys robusta	Brassicaceae	Thelypodieae	Brassicodae (II)	Neuontobotrys		1197
S0521	Stanleya pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Stanleya		1110
S0534	Sibara pinnata	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1206
S0647	Thysanocarpus curvipes	Brassicaceae	Thelypodieae	Brassicodae (II)	Thysanocarpus		1198
S0727	Dryopetalon runcinatum	Brassicaceae	Thelypodieae	Brassicodae (II)	Dryopetalon		792
