species	source	latitude	longitude	date	rating
Zahora ait-atta	Marcus Koch	31.4062	-3.7353	04/04/2017	good
Zahora ait-atta	Marcus Koch	31.4115	-3.7214	02/12/2017	good
Zahora ait-atta	Marcus Koch	30.9906	-3.9918	08/02/2018	good
Zahora ait-atta	Marcus Koch	30.9286	-3.9753	10/10/2018	good
Zahora ait-atta	Marcus Koch	30.99879	-3.9875	08/02/2019	good
Zahora ait-atta	Marcus Koch	31.4114	-3.722	11/03/2019	good
Zahora ait-atta	Marcus Koch	31.4127	-3.7419	11/03/2019	good
Zahora ait-atta	Marcus Koch	30.9293	-3.974	12/03/2019	good
Aethionema alpinum	Hamid Moazzeni	31.616667	54.066667		good
Aethionema alpinum	Hamid Moazzeni	33.147617	50.371944		good
Aethionema alpinum	Hamid Moazzeni	28.81895307	56.41973892		good
Aethionema alpinum	Hamid Moazzeni	31.4071	51.5017		good
Aethionema umbellatum	Hamid Moazzeni	30.9058	51.4787		good
Aethionema zagricum	Hamid Moazzeni	33.357191	49.2969		good
Aethionema zagricum	Hamid Moazzeni	32.365658	50.076723		good
Aethionema zagricum	Hamid Moazzeni	31.81422	51.04961		good
Draba rimarum	Atena Eslami-Farouji	36.84	54.43		neutral
Draba rimarum	Atena Eslami-Farouji	36.59	55.52	17/06/1948	neutral
Draba rimarum	Atena Eslami-Farouji	36.12	53.09	28/07/1948	neutral
Draba rimarum	Atena Eslami-Farouji	36.4	51.75	08/08/1948	neutral
Draba rimarum	Atena Eslami-Farouji	36.3	51.85	08/05/1959	neutral
Draba rimarum	Atena Eslami-Farouji	36.11	53.09	21/10/1970	neutral
Draba rimarum	Atena Eslami-Farouji	36.09	53.13	11/07/1974	neutral
Draba rimarum	Atena Eslami-Farouji	36.11	53.1	20/06/1995	neutral
Draba rimarum	Atena Eslami-Farouji	36.115	53.095	25/06/2009	neutral
Ricotia aucheri	Baris Ozudogru	39.913889	39.138056		good
Ricotia aucheri	Baris Ozudogru	39.816667	39.759722		good
Ricotia aucheri	Baris Ozudogru	40.754328	41.871531		good
Ricotia aucheri	Baris Ozudogru	39.87	39.12		good
Ricotia aucheri	Baris Ozudogru	39.87986	39.15303		good
Ricotia aucheri	Baris Ozudogru	39.759221	39.742628		good
Ricotia aucheri	Baris Ozudogru	39.762496	39.756419		good
Ricotia aucheri	Baris Ozudogru	37.833056	37.274167		good
Ricotia aucheri	Baris Ozudogru	39.320276	38.410543		good
Ricotia aucheri	Baris Ozudogru	40.638608	41.618143		good
Ricotia aucheri	Baris Ozudogru	40.647134	41.227571		good
Ricotia aucheri	Baris Ozudogru	40.461001	40.932739		good
Ricotia aucheri	Baris Ozudogru	38.248352	38.342577		good
Ricotia aucheri	Baris Ozudogru	37.530431	35.108603		good
Ricotia aucheri	Baris Ozudogru	37.906065	37.801925		good
Ricotia aucheri	Baris Ozudogru	39.485243	39.196435		good
Ricotia aucheri	Baris Ozudogru	39.369494	39.161577		good
Ricotia aucheri	Baris Ozudogru	40.868821	41.260372		good
Ricotia aucheri	Baris Ozudogru	39.260666	38.528684		good
Ricotia aucheri	Baris Ozudogru	39.468947	39.140818		good
Ricotia aucheri	Baris Ozudogru	39.749722	39.799722		good
Ricotia aucheri	Baris Ozudogru	41.040578	41.436417		good
Ricotia aucheri	Baris Ozudogru	40.815813	41.603734		good
Ricotia aucheri	Baris Ozudogru	40.697775	41.488505		good
Ricotia aucheri	Baris Ozudogru	40.556467	41.06225		good
Ricotia aucheri	Baris Ozudogru	40.603107	41.160043		good
Ricotia aucheri	Baris Ozudogru	40.861013	41.539853		good
Ricotia aucheri	Baris Ozudogru	40.68375	41.6707		good
Ricotia aucheri	Baris Ozudogru	40.752167	41.888267		good
Ricotia aucheri	Baris Ozudogru	39.455056	39.19575		good
Ricotia aucheri	Baris Ozudogru	39.253611	38.510833		good
Ricotia aucheri	Baris Ozudogru	39.271379	38.491389		good
Ricotia aucheri	Baris Ozudogru	39.237821	38.52252		good
Ricotia aucheri	Baris Ozudogru	39.87986	39.15303		good
Ricotia aucheri	Baris Ozudogru	38.2325	38.381667		good
Ricotia aucheri	Baris Ozudogru	39.982222	40.561667		good
Ricotia aucheri	Baris Ozudogru	37.714404	35.401102		good
Ricotia aucheri	Baris Ozudogru	37.902917	37.970722		good
Ricotia aucheri	Baris Ozudogru	37.910652	37.840011		good
Ricotia aucheri	Baris Ozudogru	37.941257	38.138275		good
Ricotia aucheri	Baris Ozudogru	37.979083	38.688383		good
Ricotia aucheri	Baris Ozudogru	39.887064	39.136602		good
Ricotia aucheri	Baris Ozudogru	37.89825	35.45809		good
Ricotia carnosula	Baris Ozudogru	36.690556	30.571111		good
