"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",694602585,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",33.7257757,36.1269844,FALSE,50000,6500,NA,"PRESERVED_SPECIMEN",1855-06-17,"Kotschy, C.G.T.","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p06618105","ASIA","SY",NA,"",NA,NA,NA,NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum",NA,NA,NA,NA,"Syria","Acuston lunarioides","Alysseae",10902918,"geocoding",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum, 6500",4,FALSE,NA
"2",694546131,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,6500,NA,"PRESERVED_SPECIMEN",1855-06-17,"Kotschy, C.G.T.","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p06618104","ASIA","SY",NA,"",NA,NA,NA,NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum",NA,NA,NA,NA,"Syria","Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum, 6500",4,TRUE,NA
"3",667559181,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05036498","","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
"4",667467789,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05419953","","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"5",667467788,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05419954","","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"6",667467787,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05419955","","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"7",667467786,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05419956","","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"8",439333052,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",NA,NA,FALSE,NA,6500,NA,"PRESERVED_SPECIMEN",1855-06-17,"Kotschy, C.G.T.","Al-Shehbaz",NA,NA,"",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00747701","ASIA","SY",NA,"",NA,NA,NA,NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum",NA,NA,NA,NA,"Syria","Acuston lunarioides","Alysseae",10902918,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum, 6500",4,TRUE,NA
"9",4013325390,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",36.2490332,27.8307934,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN",NA,"Ristow","",NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KF022975",NA,"KF022975","","GR",NA,"Rhodos, Burg Kritinia",NA,NA,NA,NA,"",NA,NA,NA,NA,"Greece","Acuston lunarioides","Alysseae",10902918,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Greece, Rhodos, Burg Kritinia",2,FALSE,NA
"10",3817807373,"Acuston perenne (Mill.) Mabb. & Al-Shehbaz","Acuston lunarioides (Willd.) Raf.",36.6287384,24.9206651,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN",NA,"Burri & Krendl","",NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KF022832",NA,"KF022832","","GR",NA,"Folegandros",NA,NA,NA,NA,"",NA,NA,NA,NA,"Greece","Acuston lunarioides","Alysseae",10902918,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Greece, Folegandros",2,FALSE,NA
