"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",864896247,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",33.6633928,36.249525,FALSE,50000,2600,NA,"PRESERVED_SPECIMEN","1855-06-17","Kotschy,C.G.T.","","","142","https://herbarium.bgbm.org/object/B100241465","","https://herbarium.bgbm.org/object/B100241465","ASIA","SY",NA,"Syrian Arab Republic: in jugis frigidis inter Bludan et Halbun pagum. Alt.: 6500 ped. 17.06.1855, Leg.: C. G. T. Kotschy 142.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Syria, Syrian Arab Republic: in jugis frigidis inter Bludan et Halbun pagum. Alt.: 6500 ped. 17.06.1855, Leg.: C. G. T. Kotschy 142., 2600.0",4,FALSE,NA
"2",4093670840,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",34.047863,100.6196553,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","","","","http://biocol.org/urn:lsid:biocol.org:col:15556","","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4897998","Vascular plants","5e45a3c4-9cf2-4934-840f-d397dadfaf5c","","",NA,"","[Tropical Asia]","",NA,"","",NA,NA,NA,NA,NA,"Acuston petalodes","Alysseae",12177207,"geocoding",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"[Tropical Asia]",1,FALSE,NA
"3",4073204560,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",33.2690961,35.772122,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1969-07-08","M. Zohary, A. Danin & A. Shmida","","gbif:ih:irn:124997","S.N.","","Meise Botanic Garden Herbarium","http://www.botanicalcollections.be/specimen/BR0000030303218","","",NA,"S. Hermon; Above Majdal Shams","","",NA,"","",NA,NA,NA,NA,NA,"Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"S. Hermon; Above Majdal Shams",1,FALSE,NA
"4",4072665227,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",31.7768831,35.2224346,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1889-03","Jouannet-Marie","","gbif:ih:irn:124997","390","","Meise Botanic Garden Herbarium","http://www.botanicalcollections.be/specimen/BR0000030303249","ASIA","IL",NA,"Sainte Croix","Country: Jérusalem","",NA,"","",NA,NA,NA,NA,"Israel","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"ASIA, Israel, Sainte Croix, Country: Jérusalem",4,FALSE,NA
"5",4062216419,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",33.7257757,36.1269844,FALSE,50000,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141970","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,FALSE,NA
"6",4062049016,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141972","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"7",4061946028,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141976","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"8",4061860285,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141974","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"9",4061857050,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141973","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"10",4061385332,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141969","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"11",4061368983,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141968","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"12",4061336151,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141975","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"13",4061316084,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",NA,NA,FALSE,NA,1980,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:103141971","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1980.0",4,TRUE,NA
"14",4030735171,"Acuston petalodes (DC.) Al-Shehbaz","Acuston petalodes (DC.) Al-Shehbaz",34.802075,38.996815,FALSE,250000,NA,NA,"MATERIAL_CITATION","","","","","","https://treatment.plazi.org/id/AC0E341DFFEB831BFCE55C55FC53F8A7#94CF8F56FFEB831BFCF85CA5FA89FB07","","AC0E341DFFEB831BFCE55C55FC53F8A7.mc.94CF8F56FFEB831BFCF85CA5FA89FB07","ASIA","SY",NA,"Labillardi","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Syria, Labillardi",3,FALSE,NA
"15",4030734866,"Acuston petalodes (DC.) Al-Shehbaz","Fibigia obovata (Boiss. & Kotschy) Boiss.",34.802075,38.996815,FALSE,250000,1980,NA,"MATERIAL_CITATION","1855-06-17","","","","","https://treatment.plazi.org/id/AC0E341DFFEB831BFFB55AE4FB02FC16#94CF8F56FFEB831BFF485BA4FE2BFB47","","AC0E341DFFEB831BFFB55AE4FB02FC16.mc.94CF8F56FFEB831BFF485BA4FE2BFB47","ASIA","SY",NA,"Kotschy","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Syria, Kotschy, 1980.0",4,FALSE,NA
"16",3946811479,"Acuston petalodes (DC.) Al-Shehbaz","Acuston petalodes (DC.) Al-Shehbaz",33.7257757,36.1269844,FALSE,50000,1981.2,NA,"PRESERVED_SPECIMEN","1855-06-17","Theodor Kotschy","Ihsan A. Al-Shehbaz (MO)","http://biocol.org/urn:lsid:biocol.org:col:15859","142","","Tropicos","urn:catalog:MO:Tropicos:101360839","ASIA","SY",NA,"Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum.","","",NA,"","",NA,NA,NA,NA,"Syria","Acuston petalodes","Alysseae",12177207,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Syria, Circa Zebdaine prope Damascum. In jugis frigidis inter Bludan et Halbun pagum., 1981.2",4,FALSE,NA
