"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",895355104,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex DC.",39.779999,45.529999,TRUE,NA,NA,NA,"PRESERVED_SPECIMEN","","C. Aedo, I. Aizpuru, S. Castroviejo, G. Feyvush, M. A. García, R. Gonzalo, J. Güemes, A. Herrero, L.","E. Rico","","AH 2854","","","","ASIA","AM","","provincia de Vayots Dzor, pr. Ger-Ger","","","","","","","",NA,NA,"Armenia","Aethionema arabicum","Aethionemeae",11167472,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA
"2",893393491,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex DC.",39.71667,45.53333,TRUE,NA,1500,NA,"PRESERVED_SPECIMEN","2002-06-25","Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.","Al-Shebaz","","s.n.","https://herbarium.bgbm.org/object/B100476130","","https://herbarium.bgbm.org/object/B100476130","ASIA","AM","","Vayotsdzor province, Vajk distr., ca. 7 km NE of Vajk, at water reservoir, c. 7 km S of village Gerger","","","","","","","",NA,NA,"Armenia","Aethionema arabicum","Aethionemeae",11167472,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA
"3",893393475,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex DC.",39.8,44.96667,TRUE,NA,1590,NA,"PRESERVED_SPECIMEN","2002-06-23","Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.","Al-Shebaz","","s.n.","https://herbarium.bgbm.org/object/B100476555","","https://herbarium.bgbm.org/object/B100476555","ASIA","AM","","Ararat province, Ararat distr., 16 km to East from Ararat town, road Yerevan to Yeghegnadzor, near border to Vayotsdzor province, c. 4 km NE Tigranashen","","","","","","","",NA,NA,"Armenia","Aethionema arabicum","Aethionemeae",11167472,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA
"4",86403867,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex O.E.Schulz",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1983","C. Gómez-Campo","","","","","","86403867","","TR","","Chdam, entre Elazig-Erzurum","","","","","","","",NA,NA,"Turkey","Aethionema arabicum","Aethionemeae",11167472,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Chdam, entre Elazig-Erzurum",2,FALSE,NA
"5",86403857,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex O.E.Schulz",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1983","C. Gómez-Campo","","","","","","86403857","","TR","","Nevsehir","","","","","","","",NA,NA,"Turkey","Aethionema arabicum","Aethionemeae",11167472,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Nevsehir",2,FALSE,NA
"6",86403062,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex O.E.Schulz",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1975","C. Gómez-Campo","","","","","","86403062","ASIA","IR","","Karadj, Barranco","","","","","","","",NA,NA,"Iran","Aethionema arabicum","Aethionemeae",11167472,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASIA, Iran, Karadj, Barranco",3,FALSE,"Invalid or empty geocoding result for this record's location string"
"7",86402471,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex O.E.Schulz",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1968","","","","","","","86402471","","","","","","","","","","","",NA,NA,NA,"Aethionema arabicum","Aethionemeae",11167472,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"8",86402011,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex O.E.Schulz",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1961","","","","","","","86402011","","","","","","","","","","","",NA,NA,NA,"Aethionema arabicum","Aethionemeae",11167472,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"9",788808412,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex Lipsky",36.183333,27.9,TRUE,NA,NA,NA,"PRESERVED_SPECIMEN","1982-05-15","Annette Carlström","","","","","","LD:General:1574904","ASIA","GR","Nom. Dodekanisou","Monastery Artamity, 4.5 km SE Embona","","","","","","","RT90",NA,NA,"Greece","Aethionema arabicum","Aethionemeae",11167472,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA
"10",788808353,"Aethionema arabicum (L.) Andrz. ex Lipsky","Aethionema arabicum (L.) Andrz. ex Lipsky",36.183333,27.9,TRUE,NA,NA,NA,"PRESERVED_SPECIMEN","1985-04-03","Annette Carlström","","","","","","LD:General:1574844","ASIA","GR","Ep. Rodou","Rodos: Monastery Artamyti","","Nom. Dodekanisou","","","","","RT90",NA,NA,"Greece","Aethionema arabicum","Aethionemeae",11167472,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA
