"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",912403109,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",39.5666667,38.1,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1893-07-01T00:00","Bornmüller, J.","Davis, P.H.","","3262","","","http://specimens.kew.org/herbarium/K000484187","","TR","","Deli-dagh","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, Deli-dagh",2,FALSE,NA
"2",912403090,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",39.9333635,32.8597419,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","","Wiedemann","","","s.n.","","","http://specimens.kew.org/herbarium/K000484188","","TR","","","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Turkey",1,FALSE,NA
"3",912403086,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",39.262041,38.496896,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1890-07-01T00:00","Sintenis, P.","Davis, P.H.","","2838","","","http://specimens.kew.org/herbarium/K000484190","","TR","","Egin: [Kosa]","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, Egin: [Kosa]",2,FALSE,NA
"4",912403068,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",38.963745,35.243322,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","1892-06-10T00:00","Sintenis, P.","Davis, P.H.","","4186","","","http://specimens.kew.org/herbarium/K000484186","","TR","","Paphlagonia. Wilajet Kastambuli Torsia: Giaurdagh","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, Paphlagonia. Wilajet Kastambuli Torsia: Giaurdagh",2,FALSE,NA
"5",912403054,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","Wiedemann","","","s.n.","","","http://specimens.kew.org/herbarium/K000484189","","TR","","","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey",1,TRUE,NA
"6",912125127,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",40.069099,45.038189,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","","Aucher-Eloy","Davis","","344","","","http://specimens.kew.org/herbarium/K000075786","ASIA","AM","","","","","","","","",NA,NA,NA,"Armenia","Aethionema armenum","Aethionemeae",3051049,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Armenia",2,FALSE,NA
"7",912125113,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","1834-01-01T00:00","Montbret","","","s.n.","","","http://specimens.kew.org/herbarium/K000075767","","TR","","Monte tauro orient.","","","","","","",NA,NA,NA,"Turkey","Aethionema armenum","Aethionemeae",3051049,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Monte tauro orient.",2,FALSE,"Invalid or empty geocoding result for this record's location string"
"8",895355730,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",39.950001,44.68,TRUE,NA,NA,NA,"PRESERVED_SPECIMEN","","C. Aedo, I. Aizpuru, S. Castroviejo, G. Feyvush, M. A. García, R. Gonzalo, J. Güemes, A. Herrero, L.","E. Rico","","CN 5742","","","","ASIA","AM","","provincia de Ararat, montañas de Hadis, camino de Raghtsaghem a Vedi","","","","","","",NA,NA,NA,"Armenia","Aethionema armenum","Aethionemeae",3051049,"GBIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA
"9",86402631,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","1969","","","","","","","86402631","","","","","","","","","","",NA,NA,NA,NA,"Aethionema armenum","Aethionemeae",3051049,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"10",735489220,"Aethionema armenum Boiss.","Aethionema armenum Boiss.",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"Aethionema armenum","Aethionemeae",3051049,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
