"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",735489208,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema glaucescens (Boiss.) Bornm.",NA,NA,FALSE,NA,NA,NA,"LIVING_SPECIMEN","","",NA,"","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethionema balansae","Aethionemeae",3051124,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
"2",667560090,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","",NA,"","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05372502","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethionema balansae","Aethionemeae",3051124,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"3",667560089,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","",NA,"","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05372505","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethionema balansae","Aethionemeae",3051124,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"4",667560088,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","",NA,"","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05372506","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethionema balansae","Aethionemeae",3051124,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"5",4030734849,"Aethionema glaucescens (Boiss.) Bornm.","Crenularia glaucescens (Boiss.) Boiss.",38.963745,35.243322,FALSE,250000,NA,NA,"MATERIAL_CITATION","","",NA,"","","https://treatment.plazi.org/id/AC0E341DFF3683C1FCFC5D25FF74FE56#94CF8F56FF3683C6FC975E55FA98F997","","AC0E341DFF3683C1FCFC5D25FF74FE56.mc.94CF8F56FF3683C6FC975E55FA98F997","","TR",NA,"Tchihatcheff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, Tchihatcheff",2,FALSE,NA
"6",4030734834,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",NA,NA,FALSE,NA,NA,NA,"MATERIAL_CITATION","1857-06","",NA,"","","https://treatment.plazi.org/id/AC0E341DFF3183C1FFB55995FE6EFCB7#94CF8F56FF3183C1FF485AF5FD67FD57","","AC0E341DFF3183C1FFB55995FE6EFCB7.mc.94CF8F56FF3183C1FF485AF5FD67FD57","","TR",NA,"Jardin de Valleyres",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Jardin de Valleyres",2,FALSE,"Invalid or empty geocoding result for this record's location string"
"7",4030734485,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",39.9333635,32.8597419,FALSE,50000,NA,NA,"MATERIAL_CITATION","","",NA,"","","https://treatment.plazi.org/id/AC0E341DFF3183C1FFB55995FE6EFCB7#94CF8F56FF3183C1FF4F5AD5FD85FD37","","AC0E341DFF3183C1FFB55995FE6EFCB7.mc.94CF8F56FF3183C1FF4F5AD5FD85FD37","","TR",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Turkey",1,FALSE,NA
"8",2806613538,"Aethionema glaucescens (Boiss.) Bornm.","Aethionema balansae Boiss.",38.963745,35.243322,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","1857-06","P.E. Boissier",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859","s.n.","","Tropicos","urn:catalog:MO:Tropicos:101193032","ASIA","TR",NA,"Taurus, Jardin de Valleyres.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Turkey, Taurus, Jardin de Valleyres.",3,FALSE,NA
"9",2806611539,"Aethionema glaucescens (Boiss.) Bornm.","Crenularia glaucescens (Boiss.) Boiss.",39.853238,35.748563,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1854","Tchichatscheff, Petr Aleksandrovich",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859","s.n.","","Tropicos","urn:catalog:MO:Tropicos:101193031","ASIA","TR",NA,"Propé Kizildagh. Asie Minoris.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Turkey, Propé Kizildagh. Asie Minoris.",3,FALSE,NA
"10",1831259028,"Aethionema glaucescens (Boiss.) Bornm.","Crenularia glaucescens (Boiss.) Boiss.",53.7725087112867,43.736782,FALSE,50000,1800,0,"PRESERVED_SPECIMEN","","Nábělek, F.",NA,"","","","","","","TR",NA,"Kurdistaniae Turcicae distr. Hakkiari: mons Siares supra pagum Hašitha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","Aethionema balansae","Aethionemeae",3051124,"geocoding",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Turkey, Kurdistaniae Turcicae distr. Hakkiari: mons Siares supra pagum Hašitha, 1800",3,FALSE,NA
