"","gbifID","acceptedScientificName","scientificName","decimalLatitude","decimalLongitude","hasCoordinate","coordinateUncertaintyInMeters","elevation","elevationAccuracy","basisOfRecord","eventDate","recordedBy","identifiedBy","collectionID","recordNumber","references","datasetName","occurrenceID","continent","countryCode","county","locality","locationRemarks","stateProvince","municipality","higherGeography","verbatimLocality","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","locationID","country_full_name","SPECIES_NAME_PRINT","TRIBE_FULL","gbif_usageKey","coordinate_source","native_range_test","coordinate_cleaner_.val","coordinate_cleaner_.equ","coordinate_cleaner_.zer","coordinate_cleaner_.cap","coordinate_cleaner_.cen","coordinate_cleaner_.sea","coordinate_cleaner_.gbf","coordinate_cleaner_.inst","coordinate_cleaner_.summary","passed_all_tests","location_string","non_empty_location_count","location_string_duplicated","geocoding_errors"
"1",912125186,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",37.2769882624425,34.8952102,FALSE,50000,NA,NA,"PRESERVED_SPECIMEN","1855-06-27T00:00","Balansa, B.","Menke, M.","","440","","","http://specimens.kew.org/herbarium/K000075766","","TR",NA,"Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.","","",NA,"","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.",2,FALSE,NA
"2",912125141,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","1855-06-27T00:00","Balansa, B.","Menke, M.","","440","","","http://specimens.kew.org/herbarium/K000075765","","TR",NA,"Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.","","",NA,"","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.",2,TRUE,NA
"3",912125114,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","1855-06-27T00:00","Balansa, B.","Menke, M.","","440","","","http://specimens.kew.org/herbarium/K000075764","","TR",NA,"Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.","","",NA,"","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Rochers du château en ruine dominant le défilé des Portes Ciliciennes, à 10 lieues au N. de Tarsous.",2,TRUE,NA
"4",667627701,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","","","","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05444369","","",NA,"","","",NA,"","","","",NA,NA,NA,"Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
"5",667601930,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","","","","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05444317","","",NA,"","","",NA,"","","","",NA,NA,NA,"Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"6",667601929,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","","","","","","","","http://coldb.mnhn.fr/catalognumber/mnhn/p/p05444316","","",NA,"","","",NA,"","","","",NA,NA,NA,"Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"7",575362541,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",38.963745,35.243322,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","1971-07-21","Aberdeen Univ. Amanus Expedition,","","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","H3 576","","Edinburgh (E) Herbarium Specimens","https://data.rbge.org.uk/herb/E00201006","","TR",NA,"","","",NA,"West Asia and Egypt","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Turkey, West Asia and Egypt",2,FALSE,NA
"8",575324808,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","1964-06-29","Wood, P. W. & Gibson, W. B.","","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","120","","Edinburgh (E) Herbarium Specimens","https://data.rbge.org.uk/herb/E00061222","","TR",NA,"","","",NA,"West Asia and Egypt","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, West Asia and Egypt",2,TRUE,NA
"9",575180937,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",33.854721,35.862285,FALSE,250000,NA,NA,"PRESERVED_SPECIMEN","1959-04-27","Polunin, Oleg Vladimir","","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","5416","","Edinburgh (E) Herbarium Specimens","https://data.rbge.org.uk/herb/E00061151","ASIA","LB",NA,"","","",NA,"West Asia and Egypt","","","",NA,NA,"Lebanon","Aethionema capitatum","Aethionemeae",3051119,"geocoding",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ASIA, Lebanon, West Asia and Egypt",3,FALSE,NA
"10",575105192,"Aethionema capitatum Boiss. & Balansa","Aethionema capitatum Boiss. & Balansa",NA,NA,FALSE,NA,NA,NA,"PRESERVED_SPECIMEN","1952-06-30","Davis, Peter Hadland, Dodds, J. G. & Çetik, R.","","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","19393","","Edinburgh (E) Herbarium Specimens","https://data.rbge.org.uk/herb/E00201004","","TR",NA,"","","",NA,"West Asia and Egypt","","","",NA,NA,"Turkey","Aethionema capitatum","Aethionemeae",3051119,"geocoding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, West Asia and Egypt",2,TRUE,NA
