locus,genome
1G01220,B764
1G01770,B764
1G01910,B764
1G02400,B764
1G02420,B764
1G02860,B764
1G02970,B764
1G03090,B764
1G03100,B764
1G03190,B764
1G03390,B764
1G04110,B764
1G04690,B764
1G04730,B764
1G04910,B764
1G04970,B764
1G05850,B764
1G05910,B764
1G05960,B764
1G06260,B764
1G06270,B764
1G06440,B764
1G06560,B764
1G06590,B764
1G06710,B764
1G06950,B764
1G07010,B764
1G07590,B764
1G08460,B764
1G08490,B764
1G09010,B764
1G09340,B764
1G09870,B764
1G09900,B764
1G10020,B764
1G10240,B764
1G10330,B764
1G10385,B764
1G10780,B764
1G10910,B764
1G11000,B764
1G11915,B764
1G12150,B764
1G12330,B764
1G12470,B764
1G13970,B764
1G14300,B764
1G15440,B764
1G15740,B764
1G15980,B764
1G16070,B764
1G16570,B764
1G16720,B764
1G16770,B764
1G17760,B764
1G18270,B764
1G19025,B764
1G19860,B764
1G20080,B764
1G20560,B764
1G21640,B764
1G22620,B764
1G22770,B764
1G24610,B764
1G24706,B764
1G25500,B764
1G25570,B764
1G27460,B764
1G27752,B764
1G27760,B764
1G29690,B764
1G29900,B764
1G30000,B764
1G30010,B764
1G30440,B764
1G31360,B764
1G31780,B764
1G31800,B764
1G33410,B764
1G43860,B764
1G47380,B764
1G47670,B764
1G48090,B764
1G48880,B764
1G49040,B764
1G49540,B764
1G49820,B764
1G49970,B764
1G50120,B764
1G50200,B764
1G50940,B764
1G51550,B764
1G51720,B764
1G52520,B764
1G52760,B764
1G53270,B764
1G55150,B764
1G55250,B764
1G55270,B764
1G55480,B764
1G55590,B764
1G55760,B764
1G55880,B764
1G55910,B764
1G57770,B764
1G58120,B764
1G59980,B764
1G60060,B764
1G60070,B764
1G60490,B764
1G60560,B764
1G60995,B764
1G61600,B764
1G61850,B764
1G63160,B764
1G63660,B764
1G63700,B764
1G65320,B764
1G65380,B764
1G65840,B764
1G66830,B764
1G67120,B764
1G67550,B764
1G67560,B764
1G67840,B764
1G68050,B764
1G68570,B764
1G68740,B764
1G68830,B764
1G68930,B764
1G69860,B764
1G70260,B764
1G70570,B764
1G70820,B764
1G71220,B764
1G72280,B764
1G72500,B764
1G72970,B764
1G73180,B764
1G73930,B764
1G73960,B764
1G73990,B764
1G74460,B764
1G74680,B764
1G75200,B764
1G75330,B764
1G76400,B764
1G76730,B764
1G77405,B764
1G78280,B764
1G79080,B764
1G79150,B764
1G79560,B764
1G80350,B764
1G80360,B764
1G80410,B764
1G80460,B764
2G01070,B764
2G02560,B764
2G04270,B764
2G04660,B764
2G04842,B764
2G07360,B764
2G13370,B764
2G13540,B764
2G13610,B764
2G15620,B764
2G15695,B764
2G16440,B764
2G16880,B764
2G17020,B764
2G17510,B764
2G17760,B764
2G18710,B764
2G18760,B764
2G20050,B764
2G20190,B764
2G21280,B764
2G21470,B764
2G21610,B764
2G22120,B764
2G23140,B764
2G24230,B764
2G25660,B764
2G25730,B764
2G25800,B764
2G26170,B764
2G26180,B764
2G26200,B764
2G26690,B764
2G26780,B764
2G26800,B764
2G26930,B764
2G27090,B764
2G27500,B764
2G27590,B764
2G28070,B764
2G28780,B764
2G29050,B764
2G29560,B764
2G30520,B764
2G31530,B764
2G31740,B764
2G31955,B764
2G31970,B764
2G32040,B764
2G32290,B764
2G32590,B764
2G32900,B764
2G33770,B764
2G34640,B764
2G34960,B764
2G35040,B764
2G35150,B764
2G35500,B764
2G35610,B764
2G35720,B764
2G35920,B764
2G36840,B764
2G37230,B764
2G37310,B764
2G37320,B764
2G37370,B764
2G38000,B764
2G38280,B764
2G38500,B764
2G38510,B764
2G38770,B764
2G39090,B764
2G39260,B764
2G39450,B764
2G39620,B764
2G39730,B764
2G39830,B764
2G39970,B764
2G40070,B764
2G40190,B764
2G40730,B764
2G40760,B764
2G40770,B764
2G40840,B764
2G40860,B764
2G40890,B764
2G41190,B764
2G41670,B764
2G41700,B764
2G42490,B764
2G42700,B764
2G42750,B764
2G42850,B764
2G43235,B764
2G43420,B764
2G43770,B764
2G43890,B764
2G45500,B764
2G46060,B764
2G46370,B764
2G46890,B764
2G47020,B764
2G47600,B764
2G47790,B764
3G01060,B764
3G01100,B764
3G01150,B764
3G01460,B764
3G01670,B764
3G02130,B764
3G02260,B764
3G02570,B764
3G02660,B764
3G03210,B764
3G03380,B764
3G03710,B764
3G04340,B764
3G04480,B764
3G04740,B764
3G05350,B764
3G06270,B764
3G06483,B764
3G06530,B764
3G06810,B764
3G06860,B764
3G06880,B764
3G06920,B764
3G06950,B764
3G07080,B764
3G07140,B764
3G07420,B764
3G08650,B764
3G08670,B764
3G08760,B764
3G08950,B764
3G08960,B764
3G09090,B764
3G09650,B764
3G10030,B764
3G10230,B764
3G10380,B764
3G10700,B764
3G11220,B764
3G11460,B764
3G11540,B764
3G11960,B764
3G11964,B764
3G12080,B764
3G12280,B764
3G12590,B764
3G12610,B764
3G12810,B764
3G13490,B764
3G14120,B764
3G14470,B764
3G14910,B764
3G15380,B764
3G15550,B764
3G16150,B764
3G16270,B764
3G16290,B764
3G16910,B764
3G17640,B764
3G17810,B764
3G17830,B764
3G17880,B764
3G17900,B764
3G18290,B764
3G18524,B764
3G18730,B764
3G19180,B764
3G19210,B764
3G19553,B764
3G19630,B764
3G19810,B764
3G19970,B764
3G19990,B764
3G20050,B764
3G20240,B764
3G20260,B764
3G20630,B764
3G20780,B764
3G20920,B764
3G21420,B764
3G21720,B764
3G22170,B764
3G22980,B764
3G23020,B764
3G23430,B764
3G24170,B764
3G25430,B764
3G25660,B764
3G26090,B764
3G26410,B764
3G26670,B764
3G26700,B764
3G27670,B764
3G27730,B764
3G27820,B764
3G27870,B764
3G28040,B764
3G29320,B764
3G43240,B764
3G43300,B764
3G44330,B764
3G44880,B764
3G46220,B764
3G47400,B764
3G47700,B764
3G48110,B764
3G48150,B764
3G48380,B764
3G48425,B764
3G48500,B764
3G48610,B764
3G48820,B764
3G49400,B764
3G50620,B764
3G50660,B764
3G51050,B764
3G51470,B764
3G51490,B764
3G51930,B764
3G52200,B764
3G52940,B764
3G52970,B764
3G53100,B764
3G53150,B764
3G53180,B764
3G53760,B764
3G54690,B764
3G54790,B764
3G54860,B764
3G55070,B764
3G55160,B764
3G55580,B764
3G56120,B764
3G56310,B764
3G56370,B764
3G56940,B764
3G57180,B764
3G57300,B764
3G57610,B764
3G58520,B764
3G60830,B764
3G61960,B764
3G62130,B764
4471,A353
4527,A353
4691,A353
4724,A353
4744,A353
4757,A353
4793,A353
4796,A353
4802,A353
4806,A353
4848,A353
4889,A353
4890,A353
4893,A353
4932,A353
4942,A353
4951,A353
4954,A353
4989,A353
4992,A353
4G00450,B764
4G00550,B764
4G00740,B764
4G00910,B764
4G01037,B764
4G01320,B764
4G01570,B764
4G01730,B764
4G01880,B764
4G02030,B764
4G02260,B764
4G02460,B764
4G02680,B764
4G02730,B764
4G02780,B764
4G02790,B764
4G02990,B764
4G03020,B764
4G03220,B764
4G03260,B764
4G04350,B764
4G04640,B764
4G04970,B764
4G05090,B764
4G08150,B764
4G08920,B764
4G09140,B764
4G09750,B764
4G10020,B764
4G10950,B764
4G11120,B764
4G14940,B764
4G15420,B764
4G16144,B764
4G16340,B764
4G16420,B764
4G16570,B764
4G16660,B764
4G17090,B764
4G17140,B764
4G17230,B764
4G17370,B764
4G17380,B764
4G17830,B764
4G18010,B764
4G18060,B764
4G18340,B764
4G18830,B764
4G18950,B764
4G19180,B764
4G19460,B764
4G20050,B764
4G20060,B764
4G20070,B764
4G20090,B764
4G20850,B764
4G21350,B764
4G21680,B764
4G21770,B764
4G22720,B764
4G23540,B764
4G23940,B764
4G24190,B764
4G24220,B764
4G24610,B764
4G24620,B764
4G24740,B764
4G24790,B764
4G24830,B764
4G26090,B764
4G26750,B764
4G27640,B764
4G27790,B764
4G28080,B764
4G28220,B764
4G29010,B764
4G29310,B764
4G29380,B764
4G29810,B764
4G29830,B764
4G30490,B764
4G30600,B764
4G30720,B764
4G30790,B764
4G31200,B764
4G31540,B764
4G31770,B764
4G31850,B764
4G32430,B764
4G32910,B764
4G33030,B764
4G33080,B764
4G33210,B764
4G33330,B764
4G33410,B764
4G33440,B764
4G33760,B764
4G33945,B764
4G34260,B764
4G34310,B764
4G34350,B764
4G34850,B764
4G35560,B764
4G35760,B764
4G35850,B764
4G35870,B764
4G35880,B764
4G36180,B764
4G36390,B764
4G36630,B764
4G36790,B764
4G37030,B764
4G38010,B764
4G39470,B764
4G39850,B764
5018,A353
5032,A353
5034,A353
5038,A353
5064,A353
5090,A353
5104,A353
5116,A353
5123,A353
5131,A353
5138,A353
5162,A353
5163,A353
5168,A353
5177,A353
5188,A353
5200,A353
5206,A353
5220,A353
5257,A353
5260,A353
5264,A353
5271,A353
5273,A353
5280,A353
5296,A353
5299,A353
5304,A353
5318,A353
5326,A353
5328,A353
5333,A353
5335,A353
5339,A353
5343,A353
5347,A353
5348,A353
5354,A353
5355,A353
5357,A353
5366,A353
5398,A353
5404,A353
5406,A353
5421,A353
5422,A353
5426,A353
5427,A353
5428,A353
5430,A353
5434,A353
5449,A353
5454,A353
5460,A353
5463,A353
5464,A353
