sample,locus
23Q06,5G08280
23Q37,4G18830
23Q37,4G22720
23Q40,1G43860
23Q43,3G08650
23Q43,4951
23Q43,5G12900
23Q43,6016
23Q43,6051
23Q43,6164
23Q43,6705
23Q46,5355
23Q46,6068
23Q46,6532
23Q48,1G03190
23Q48,1G33410
23Q48,1G60490
23Q48,2G13540
23Q48,2G31970
23Q48,2G32590
23Q48,3G19990
23Q48,3G27730
23Q48,4G01880
23Q48,4G09140
23Q48,4G10020
23Q48,4G11120
23Q48,4G22720
23Q48,4G31770
23Q48,5264
23Q48,5296
23Q48,5299
23Q48,5326
23Q48,5406
23Q48,5460
23Q48,5513
23Q48,5528
23Q48,5639
23Q48,5721
23Q48,5990
23Q48,5G06120
23Q48,5G06830
23Q48,5G14700
23Q48,5G22800
23Q48,5G50210
23Q48,5G53000
23Q48,5G62370
23Q48,5G63010
23Q48,5G67530
23Q48,6000
23Q48,6175
23Q48,6198
23Q48,6320
23Q48,6407
23Q48,6430
23Q48,6526
23Q48,6738
23Q48,6782
23Q48,6893
23Q48,7279
23Q51,2G46370
23Q51,5G57800
23Q51,6387
23Q62,1G03190
23Q62,1G05910
23Q62,1G06590
23Q62,1G33410
23Q62,1G60490
23Q62,2G13540
23Q62,2G31970
23Q62,2G32590
23Q62,2G40760
23Q62,3G12080
23Q62,3G19990
23Q62,3G20050
23Q62,3G27730
23Q62,3G27870
23Q62,3G43240
23Q62,4G01880
23Q62,4G10020
23Q62,4G22720
23Q62,4G29810
23Q62,4G31770
23Q62,5296
23Q62,5299
23Q62,5326
23Q62,5404
23Q62,5406
23Q62,5460
23Q62,5513
23Q62,5639
23Q62,5721
23Q62,5770
23Q62,5843
23Q62,5G06830
23Q62,5G22800
23Q62,5G40480
23Q62,5G50210
23Q62,5G53000
23Q62,5G62370
23Q62,5G63010
23Q62,5G67530
23Q62,6000
23Q62,6068
23Q62,6175
23Q62,6198
23Q62,6320
23Q62,6376
23Q62,6407
23Q62,6679
23Q62,6738
23Q62,6782
23Q62,6893
23Q62,7028
23Q65,4G29010
23R12,5G08280
23R16,5G20270
23R17,4G29010
23R25,1G06260
23R26,1G06260
23R29,5940
23R37,1G63660
23R37,3G54690
23R37,4G18830
23R37,4G18950
23R37,5G13020
23R37,5G20270
23R37,5G58430
23R38,1G03190
23R38,1G25570
23R38,1G60490
23R38,2G16440
23R38,2G32590
