Genome	Locus	mean_prop_SNPs
A353	4527	0.04363
A353	4757	0.05557
A353	4793	0.04688
A353	5318	0.06198
A353	5434	0.06059
A353	5463	0.05899
A353	5464	0.06494
A353	5469	0.06405
A353	5477	0.04676
A353	5578	0.05266
A353	5744	0.06331
A353	5841	0.05452
A353	5842	0.04336
A353	5899	0.04850
A353	5958	0.04642
A353	6003	0.04603
A353	6036	0.04341
A353	6110	0.04302
A353	6498	0.04924
A353	6570	0.05009
A353	6979	0.04267
B764	2G43770	0.04822
B764	3G06270	0.04445
B764	5G04550	0.04497
B764	5G20350	0.05482
