genome,gene,n_tips,n_internal_branches,n_internal_with_alrt,n_internal_with_ufboot,n_zero_alrt,frac_zero_alrt,n_low_alrt_lt_thr,frac_low_alrt_lt_thr,n_low_ufboot_lt_thr,frac_low_ufboot_lt_thr,n_short_bl_internal,frac_short_bl_internal,mean_alrt_internal,median_alrt_internal,mean_ufboot_internal,median_ufboot_internal,mean_bl_internal,median_bl_internal
A353,4471,2619,2617,2616,2616,1111,0.42453190676346964,1336,0.5105082155139473,1144,0.4371417653802063,915,0.3496369889186091,45.68409785932719,64.19999999999999,72.9598623853211,86.0,0.004143754922668195,0.00162904855
A353,4691,2088,2086,2085,2085,1057,0.5067114093959731,1202,0.576222435282838,948,0.45445829338446786,926,0.4439117929050815,39.53194244604317,0.0,69.39616306954436,85.0,0.003999008024124705,0.0018099899
A353,4724,1954,1952,1951,1951,898,0.4600409836065574,1067,0.5466188524590164,807,0.413422131147541,754,0.3862704918032787,43.24202972834442,46.0,71.21322398769861,88.0,0.004427235271450549,0.0015435913
A353,4744,2255,2253,2252,2252,1412,0.6267199289835774,1525,0.6768752774079005,1228,0.5450510430537062,1263,0.5605858854860186,29.923223801065696,0.0,59.58570159857904,71.0,0.0053374984565275245,2.75435e-06
A353,4796,2422,2420,2419,2419,939,0.38801652892561983,1159,0.47892561983471077,943,0.3896694214876033,794,0.328099173553719,49.02004960727571,73.4,74.912360479537,91.0,0.004264938629185601,0.0017423152
A353,4802,2509,2507,2506,2506,1225,0.48863183087355405,1399,0.5580374950139609,1240,0.4946150777822098,1055,0.42082169924212204,41.50191540303275,25.1,66.96249002394254,80.0,0.0031123310998403863,0.0011357070000000001
A353,4806,1834,1832,1831,1831,802,0.43777292576419213,971,0.5300218340611353,839,0.4579694323144105,675,0.36844978165938863,44.31261605679953,50.6,70.89513926815948,85.0,0.004827628584270905,0.0018877323
A353,4848,2749,2747,2746,2746,1030,0.37495449581361484,1278,0.46523480160174735,962,0.35020021842009463,864,0.3145249362941391,51.45549890750185,74.2,76.8353969410051,96.0,0.003772905376256364,0.00123406975
A353,4889,1792,1790,1789,1789,963,0.5379888268156424,1087,0.6072625698324022,845,0.4720670391061452,808,0.45139664804469276,36.58110676355507,0.0,67.53884851872554,82.0,0.004924090119228633,0.0025499806
A353,4890,1990,1988,1987,1987,1000,0.5030181086519114,1155,0.5809859154929577,909,0.45724346076458755,830,0.41750503018108653,39.18621036738798,0.0,69.02969300452943,85.0,0.004130456025717165,0.0016840924
A353,4893,2532,2530,2529,2529,1218,0.48142292490118577,1405,0.5553359683794467,1121,0.44308300395256917,1019,0.40276679841897234,41.475444839857715,34.0,71.37603795966785,85.0,0.002914016716567813,0.0013218103
A353,4932,2456,2454,2453,2453,996,0.4058679706601467,1220,0.4971475142624287,944,0.38467807660961695,837,0.3410757946210269,47.79364044027717,71.1,74.56543008560946,92.0,0.0038221854502242204,0.0014312563
